N,S_approx,relative_error
100,0.77777,17.65413
600,0.98842,4.64787
1100,0.99873,5.73958
1600,1.00867,6.7923
2100,1.0324,9.30434
2600,0.92734,1.81839
3100,0.9534,0.9401
3600,0.88039,6.78905
4100,0.97458,3.18339
4600,0.88556,6.24207
5100,0.92265,2.3152
5600,0.92708,1.84667
6100,0.96106,1.75114
6600,0.93981,0.49874
7100,0.93798,0.69204
7600,0.90569,4.1104
8100,0.99382,5.21972
8600,0.98804,4.60798
9100,0.9861,4.4028
9600,0.95601,1.2168
10100,0.94719,0.28259
10600,0.93553,0.9519
11100,0.94419,0.03508
11600,0.94875,0.44776
12100,0.94731,0.29523
12600,0.91974,2.62274
13100,0.99893,5.76101
13600,0.9765,3.38645
14100,0.94188,0.27974
14600,0.96156,1.80431
15100,0.94324,0.13518
15600,0.94853,0.42501
16100,0.95349,0.95041
16600,0.94,0.47807
17100,0.92502,2.0638
17600,0.94073,0.40127
18100,0.9792,3.67163
18600,0.94974,0.55272
19100,0.90961,3.69629
19600,0.94096,0.3762
20100,0.95045,0.62788
20600,0.96561,2.2328
21100,0.93812,0.67761
21600,0.95196,0.78791
22100,0.90843,3.82114
22600,0.93264,1.25783
23100,0.95917,1.55099
23600,0.94173,0.2952
24100,0.93671,0.82619
24600,0.94257,0.20585
25100,0.92147,2.43983
25600,0.9312,1.41012
26100,0.93273,1.24806
26600,0.96637,2.31319
27100,0.97257,2.97032
27600,0.94932,0.5082
28100,0.97048,2.74918
28600,0.96304,1.9606
29100,0.91241,3.39924
29600,0.96794,2.48027
30100,0.91569,3.0521
30600,0.95855,1.4859
31100,0.96346,2.00561
31600,0.93037,1.49766
32100,0.9392,0.56287
32600,0.90481,4.20346
33100,0.92874,1.67008
33600,0.95543,1.15553
34100,0.93002,1.53511
34600,0.93456,1.05406
35100,0.96197,1.84729
35600,0.95337,0.9373
36100,0.92912,1.62976
36600,0.93688,0.8081
37100,0.93448,1.06288
37600,0.97868,3.61673
38100,0.95078,0.66296
38600,0.944,0.0543
39100,0.93293,1.22708
39600,0.95552,1.16481
40100,0.94482,0.03175
40600,0.93989,0.49029
41100,0.954,1.00392
41600,0.95702,1.32402
42100,0.97383,3.10348
42600,0.93387,1.12697
43100,0.94063,0.41117
43600,0.95103,0.68954
44100,0.95039,0.62161
44600,0.926,1.96041
45100,0.99377,5.21465
45600,0.91955,2.64317
46100,0.93235,1.28767
46600,0.967,2.38012
47100,0.94579,0.13502
47600,0.94668,0.22928
48100,0.94149,0.32041
48600,0.94881,0.45433
49100,0.93895,0.58959
49600,0.93615,0.88612
50100,0.94155,0.31383
50600,0.94282,0.18005
51100,0.9315,1.37833
51600,0.95168,0.75799
52100,0.93489,1.019
52600,0.96112,1.7582
53100,0.94823,0.39295
53600,0.95117,0.7047
54100,0.9467,0.2306
54600,0.93856,0.63071
55100,0.95033,0.61589
55600,0.92343,2.23279
56100,0.94812,0.38196
56600,0.93838,0.65029
57100,0.92318,2.25935
57600,0.94993,0.57347
58100,0.9446,0.00913
58600,0.93737,0.75637
59100,0.9403,0.44649
59600,0.95558,1.17074
60100,0.9329,1.22949
60600,0.94863,0.43546
61100,0.94755,0.32112
61600,0.93465,1.0446
62100,0.94012,0.46559
62600,0.92671,1.88542
63100,0.932,1.32525
63600,0.95219,0.81219
64100,0.95068,0.65209
64600,0.95882,1.51423
65100,0.94832,0.40251
65600,0.9482,0.39041
66100,0.94544,0.09819
66600,0.97805,3.55055
67100,0.94222,0.24307
67600,0.92001,2.59495
68100,0.94009,0.46851
68600,0.95903,1.5369
69100,0.94731,0.29572
69600,0.93184,1.34172
70100,0.946,0.15713
70600,0.95225,0.81829
71100,0.92504,2.06227
71600,0.94872,0.44528
72100,0.93594,0.908
72600,0.92133,2.45531
73100,0.93511,0.99627
73600,0.95874,1.50583
74100,0.94112,0.35983
74600,0.94133,0.33777
75100,0.92885,1.65919
75600,0.94161,0.30813
76100,0.96123,1.76911
76600,0.95686,1.30638
77100,0.96263,1.9177
77600,0.97685,3.42312
78100,0.96338,1.99659
78600,0.93882,0.60351
79100,0.94112,0.35994
79600,0.94327,0.13236
80100,0.94636,0.19518
80600,0.96015,1.65526
81100,0.95411,1.01584
81600,0.94314,0.14554
82100,0.93385,1.12979
82600,0.93114,1.41674
83100,0.93091,1.44012
83600,0.95663,1.28246
84100,0.94412,0.04181
84600,0.94142,0.32841
85100,0.94594,0.15038
85600,0.9495,0.52737
86100,0.91677,2.93756
86600,0.9474,0.30554
87100,0.93002,1.53476
87600,0.95546,1.15804
88100,0.96692,2.37152
88600,0.95883,1.51498
89100,0.94483,0.03267
89600,0.94661,0.22117
90100,0.93887,0.59775
90600,0.93573,0.93047
91100,0.94959,0.53698
91600,0.95555,1.1681
92100,0.95458,1.06592
92600,0.93841,0.64695
93100,0.95979,1.61666
93600,0.95788,1.41474
94100,0.92892,1.65094
94600,0.93758,0.73449
95100,0.95187,0.77844
95600,0.94384,0.07165
96100,0.94024,0.45233
96600,0.94715,0.27911
97100,0.92946,1.59414
97600,0.94791,0.35903
98100,0.95398,1.0017
98600,0.94037,0.43959
99100,0.93964,0.51605
99600,0.94147,0.32305
